Chinese Name,English Name,Description,Location,Date,URL
家燕,Hirundo rustica,從極長的尾叉和深色腰部，甚至在遠處就能夠辨識出來。大多時間在飛行，在田野和池塘上空搜尋昆蟲。背部深色（光線良好時呈現海軍藍），腹部白色至淡黃色。常在穀倉、碼頭和其他建築物等人類活動區附近築巢。由MERLIN技術支援,"Ma Liu Shui to Wong Shek Pier Ferry, Hong Kong",11日 6月 2025年,https://ebird.org/species/barswa/HK
鷹鵑,Hierococcyx sparverioides,其響亮的鳴唱聲聽起來像滑潤的“貴、貴、油”，重複多次且越叫越嘹亮然後突然停止。使很多觀鳥人士頭疼的問題在於其常鳴唱於樹林中的樹冠層故很難被發現。在可看得清楚的情況下，留意其似鷹的外表、帶橫紋的長尾巴、棕色的上體及佈滿橫紋的下體。成鳥具明顯的橙色胸部。繁殖季偏好山林地帶；遷徙及越冬時常見於林緣及雜草叢生的灌木地帶。由MERLIN技術支援,"Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/larhac2/HK
棕腹鷹鵑,Hierococcyx nisicolor,"Large hawk-like cuckoo of dense forests, where it usually forages deep in the canopy. Adult gray above and pale below, with gray and orange blotches and loose streaks on breast. Juvenile similar but streaked with brown below, similar to juvenile Malaysian Hawk-Cuckoo, but the latter has a prominent white patch on the nape and evenly distributed tail bands, lacking in Hodgson’s. Far more often heard than seen; song is very unlike that of other hawk-cuckoos: two sharp notes, usually (not always) followed by a series of clattering trills.由MERLIN技術支援","Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/hodhac1/HK
小雨燕,Apus nipalensis,中型的黑色雨燕，喉部及腰部白色，可由此跟金絲燕做出區分。一般築巢於建築及洞穴裂隙，常於山谷、城市、森林上方成小群出現。羽色近似叉尾雨燕，但叉尾雨燕喉部顏色較深，外型也很不同，翅膀較長較尖，尾羽也較長、如剪刀般開叉。小雨燕叫聲為高頻的嘰喳顫音。由MERLIN技術支援,"Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/houswi1/HK
Great Barbet,Psilopogon virens,"This largest of the barbets is colorful, but often appears all-dark from a distance. No other barbet in its range combines the features of a massive pale bill, black head, and dark olive back. Sluggish and shy; tends to stick to dense forest canopy, where it is difficult to see. Its loud hooting song (typically a series of two repetitive notes) is often the only indication of this species’s presence. Also gives a harsh, screaming “karrrrr” that has a gull-like quality.由MERLIN技術支援","Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/grebar1/HK
灰喉山椒鳥,Pericrocotus solaris,這是山地森林的居民，是這個科的典型成員：常鳴叫，活躍且高度群居，通常形成大群。雄鳥的腹部呈鮮橙色，翅膀上有逗號形的一抹，頭部和背部灰色。灰色的暗度取決於區域，南部的個體比北部的個體暗。雌鳥的圖案類似，但在雄鳥為橙色的地方是黃色，頭和背灰色淡很多。雌鳥可類似於長尾山椒鳥的雌鳥，後者的灰頭上有黃色斑點，而灰喉山椒鳥則無。由MERLIN技術支援,"Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/gycmin1/HK
Common Tailorbird,Orthotomus sutorius,"A common warblerlike bird with a green back, a reddish crown, and a long bill. It gets its name from the way in which it builds its nest by stitching leaves together. A ubiquitous inhabitant of parks, gardens, and wooded areas across South and Southeast Asia. Its loud “tuui-tuui…” and “whee-whee…” calls are often part of the sound of daily life in human habitation. Co-occurs with the very similar Dark-necked Tailorbird in NE India and SE Asia, but is separable by call, and by the lack of a rufous hind-crown, and yellow vent.由MERLIN技術支援","Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/comtai1/HK
Mountain Bulbul,Ixos mcclellandii,"True to its name, tends to be found in the upper reaches of forested hills and mountains. Olive-green overall, with lighter orange-buff to grayish underparts (depending on subspecies), and a streaky gray throat. Crested head, similar size, and pale throat can cause it to superficially resemble Chestnut Bulbul in poor lighting, but Mountain Bulbul has a longer-billed and paler-faced appearance. Large flocks are loud and easily detected as they fly overhead, giving sharp, repetitive, echoing calls, which can be likened to “zyi-zya” or “zya-zya”. Song is a prolonged, repetitive series of call notes.由MERLIN技術支援","Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/moubul2/HK
山紅頭,Cyanoderma ruficeps,中型畫眉科鳥種，羽色泥土褐，體下色調柔和，一條紅褐色條紋從頭頂延伸下來。北部的個體體下更偏黃，而南部的個體則趨於暗淡的赭褐色。成對或成群地在茂密的灌木叢或竹林中移動，通常與其他鳥種一起。傾聽其歌聲，是一連串清晰的如鈴音般的哨音。驚慌時發出鼻腔震顫聲。由MERLIN技術支援,"Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/rucbab1/HK
Huet's Fulvetta,Alcippe hueti,"Noisy flocking bird of a wide range of hilly and montane forested habitats. Modestly colored, with a brown body (darker above, paler below), white throat, and gray head marked by a sharp black stripe above the brow extending from the bill to the nape. Often a major component of mixed-species feeding flocks. Chatters loudly and constantly when foraging.由MERLIN技術支援","Tai Po Kau Nature Reserve, Hong Kong",11日 6月 2025年,https://ebird.org/species/gycful5/HK
